respondent_id,xyz_vaccine,seasonal_vaccine
26975,0.14,0.65
26976,0.74,0.6
26977,0.27,0.28
26978,0.14,0.63
26979,0.64,0.67
26980,0.13,0.23
26981,0.12,0.51
26982,0.57,0.73
26983,0.32,0.43
26984,0.16,0.17
26985,0.2,0.18
26986,0.22,0.53
26987,0.2,0.2
26988,0.21,0.17
26989,0.43,0.75
26990,0.21,0.22
26991,0.33,0.43
26992,0.15,0.51
26993,0.14,0.73
26994,0.24,0.37
26995,0.38,0.37
26996,0.22,0.5
26997,0.08,0.22
26998,0.17,0.11
26999,0.44,0.56
27000,0.45,0.39
27001,0.18,0.64
27002,0.1,0.34
27003,0.04,0.05
27004,0.22,0.24
27005,0.54,0.76
27006,0.62,0.8
27007,0.15,0.2
27008,0.17,0.13
27009,0.18,0.27
27010,0.11,0.26
27011,0.2,0.18
27012,0.34,0.44
27013,0.2,0.32
27014,0.13,0.32
27015,0.22,0.22
27016,0.15,0.32
27017,0.41,0.73
27018,0.18,0.33
27019,0.82,0.93
27020,0.29,0.38
27021,0.28,0.5
27022,0.3,0.27
27023,0.24,0.18
27024,0.28,0.53
27025,0.24,0.16
27026,0.16,0.61
27027,0.2,0.72
27028,0.42,0.7
27029,0.09,0.32
27030,0.26,0.31
27031,0.4,0.73
27032,0.38,0.56
27033,0.42,0.56
27034,0.17,0.52
27035,0.2,0.31
27036,0.2,0.54
27037,0.6,0.51
27038,0.04,0.03
27039,0.44,0.89
27040,0.38,0.33
27041,0.2,0.57
27042,0.19,0.62
27043,0.4,0.66
27044,0.1,0.11
27045,0.17,0.56
27046,0.19,0.34
27047,0.47,0.51
27048,0.31,0.45
27049,0.41,0.7
27050,0.19,0.57
27051,0.17,0.29
27052,0.22,0.35
27053,0.8,0.75
27054,0.06,0.19
27055,0.07,0.82
27056,0.13,0.1
27057,0.15,0.12
27058,0.79,0.9
27059,0.3,0.29
27060,0.24,0.38
27061,0.18,0.53
27062,0.16,0.51
27063,0.21,0.53
27064,0.25,0.63
27065,0.21,0.54
27066,0.19,0.53
27067,0.4,0.73
27068,0.84,0.92
27069,0.57,0.87
27070,0.13,0.09
27071,0.17,0.13
27072,0.25,0.6
27073,0.11,0.83
27074,0.15,0.32
27075,0.66,0.9
27076,0.44,0.54
27077,0.2,0.15
27078,0.3,0.72
27079,0.45,0.82
27080,0.27,0.16
27081,0.13,0.63
27082,0.4,0.37
27083,0.13,0.43
27084,0.6,0.63
27085,0.08,0.08
27086,0.14,0.2
27087,0.15,0.39
27088,0.31,0.53
27089,0.27,0.29
27090,0.27,0.62
27091,0.5,0.3
27092,0.25,0.29
27093,0.28,0.3
27094,0.12,0.23
27095,0.42,0.58
27096,0.2,0.22
27097,0.52,0.57
27098,0.56,0.71
27099,0.21,0.43
27100,0.21,0.62
27101,0.19,0.54
27102,0.15,0.69
27103,0.15,0.24
27104,0.21,0.57
27105,0.15,0.42
27106,0.74,0.73
27107,0.37,0.67
27108,0.33,0.37
27109,0.29,0.19
27110,0.22,0.39
27111,0.21,0.41
27112,0.38,0.54
27113,0.24,0.18
27114,0.27,0.25
27115,0.55,0.77
27116,0.17,0.85
27117,0.11,0.1
27118,0.45,0.41
27119,0.18,0.27
27120,0.27,0.82
27121,0.18,0.65
27122,0.16,0.46
27123,0.15,0.14
27124,0.15,0.2
27125,0.15,0.14
27126,0.31,0.27
27127,0.15,0.14
27128,0.32,0.49
27129,0.39,0.61
27130,0.2,0.43
27131,0.13,0.14
27132,0.43,0.84
27133,0.18,0.55
27134,0.74,0.85
27135,0.26,0.61
27136,0.27,0.5
27137,0.15,0.37
27138,0.19,0.46
27139,0.25,0.23
27140,0.8,0.89
27141,0.58,0.57
27142,0.2,0.24
27143,0.43,0.45
27144,0.09,0.19
27145,0.52,0.62
27146,0.22,0.67
27147,0.16,0.27
27148,0.29,0.29
27149,0.38,0.17
27150,0.58,0.8
27151,0.29,0.81
27152,0.08,0.2
27153,0.2,0.64
27154,0.54,0.66
27155,0.28,0.59
27156,0.36,0.31
27157,0.32,0.62
27158,0.29,0.45
27159,0.27,0.27
27160,0.28,0.28
27161,0.3,0.52
27162,0.3,0.79
27163,0.56,0.47
27164,0.4,0.28
27165,0.53,0.69
27166,0.16,0.28
27167,0.1,0.53
27168,0.26,0.52
27169,0.49,0.65
27170,0.38,0.76
27171,0.16,0.41
27172,0.22,0.8
27173,0.25,0.39
27174,0.19,0.27
27175,0.21,0.33
27176,0.58,0.83
27177,0.74,0.66
27178,0.26,0.35
27179,0.13,0.31
27180,0.22,0.37
27181,0.19,0.69
27182,0.5,0.71
27183,0.17,0.55
27184,0.23,0.52
27185,0.53,0.73
27186,0.21,0.71
27187,0.12,0.19
27188,0.08,0.5
27189,0.21,0.71
27190,0.47,0.78
27191,0.23,0.76
27192,0.48,0.74
27193,0.11,0.19
27194,0.33,0.48
27195,0.03,0.18
27196,0.39,0.38
27197,0.11,0.65
27198,0.58,0.87
27199,0.37,0.36
27200,0.37,0.73
27201,0.63,0.78
27202,0.15,0.36
27203,0.26,0.27
27204,0.14,0.07
27205,0.36,0.38
27206,0.17,0.23
27207,0.21,0.28
27208,0.65,0.55
27209,0.31,0.24
27210,0.36,0.46
27211,0.17,0.32
27212,0.5,0.77
27213,0.39,0.48
27214,0.15,0.1
27215,0.19,0.63
27216,0.22,0.83
27217,0.21,0.25
27218,0.52,0.81
27219,0.57,0.61
27220,0.26,0.35
27221,0.26,0.64
27222,0.27,0.54
27223,0.1,0.65
27224,0.21,0.69
27225,0.22,0.35
27226,0.15,0.24
27227,0.29,0.35
27228,0.55,0.7
27229,0.47,0.71
27230,0.25,0.8
27231,0.43,0.63
27232,0.14,0.33
27233,0.36,0.38
27234,0.17,0.2
27235,0.7,0.84
27236,0.16,0.79
27237,0.3,0.61
27238,0.26,0.8
27239,0.55,0.34
27240,0.25,0.51
27241,0.22,0.19
27242,0.34,0.53
27243,0.11,0.2
27244,0.19,0.17
27245,0.24,0.49
27246,0.7,0.84
27247,0.33,0.83
27248,0.27,0.74
27249,0.19,0.48
27250,0.14,0.24
27251,0.18,0.49
27252,0.39,0.43
27253,0.28,0.68
27254,0.8,0.91
27255,0.24,0.18
27256,0.6,0.87
27257,0.34,0.48
27258,0.37,0.7
27259,0.74,0.88
27260,0.14,0.4
27261,0.34,0.65
27262,0.3,0.54
27263,0.29,0.24
27264,0.26,0.22
27265,0.27,0.35
27266,0.28,0.37
27267,0.18,0.61
27268,0.09,0.13
27269,0.56,0.56
27270,0.14,0.14
27271,0.23,0.48
27272,0.12,0.48
27273,0.14,0.19
27274,0.29,0.42
27275,0.15,0.41
27276,0.24,0.26
27277,0.18,0.81
27278,0.44,0.31
27279,0.26,0.36
27280,0.29,0.4
27281,0.11,0.39
27282,0.19,0.8
27283,0.15,0.25
27284,0.27,0.48
27285,0.1,0.36
27286,0.26,0.44
27287,0.27,0.58
27288,0.44,0.67
27289,0.42,0.52
27290,0.1,0.1
27291,0.52,0.78
27292,0.21,0.53
27293,0.14,0.78
27294,0.12,0.08
27295,0.24,0.7
27296,0.1,0.75
27297,0.19,0.78
27298,0.19,0.31
27299,0.29,0.49
27300,0.32,0.71
27301,0.1,0.07
27302,0.24,0.84
27303,0.23,0.34
27304,0.19,0.68
27305,0.15,0.15
27306,0.29,0.4
27307,0.65,0.82
27308,0.2,0.29
27309,0.65,0.87
27310,0.38,0.37
27311,0.14,0.27
27312,0.3,0.42
27313,0.12,0.19
27314,0.11,0.09
27315,0.4,0.53
27316,0.37,0.56
27317,0.25,0.26
27318,0.18,0.31
27319,0.38,0.84
27320,0.59,0.79
27321,0.11,0.54
27322,0.46,0.29
27323,0.18,0.45
27324,0.42,0.57
27325,0.84,0.76
27326,0.23,0.77
27327,0.28,0.5
27328,0.46,0.48
27329,0.16,0.29
27330,0.31,0.59
27331,0.18,0.28
27332,0.29,0.74
27333,0.62,0.65
27334,0.13,0.08
27335,0.18,0.23
27336,0.1,0.2
27337,0.3,0.73
27338,0.19,0.38
27339,0.35,0.45
27340,0.16,0.16
27341,0.24,0.52
27342,0.23,0.56
27343,0.35,0.12
27344,0.45,0.31
27345,0.18,0.25
27346,0.6,0.77
27347,0.62,0.86
27348,0.18,0.35
27349,0.18,0.23
27350,0.24,0.75
27351,0.63,0.69
27352,0.18,0.38
27353,0.2,0.3
27354,0.29,0.7
27355,0.3,0.41
27356,0.38,0.6
27357,0.14,0.39
27358,0.5,0.5
27359,0.58,0.58
27360,0.19,0.44
27361,0.18,0.76
27362,0.2,0.46
27363,0.21,0.29
27364,0.27,0.5
27365,0.42,0.57
27366,0.34,0.57
27367,0.3,0.41
27368,0.28,0.47
27369,0.16,0.1
27370,0.13,0.7
27371,0.25,0.33
27372,0.2,0.39
27373,0.7,0.53
27374,0.08,0.27
27375,0.23,0.78
27376,0.48,0.35
27377,0.24,0.49
27378,0.1,0.16
27379,0.2,0.29
27380,0.18,0.73
27381,0.15,0.62
27382,0.3,0.28
27383,0.23,0.51
27384,0.18,0.43
27385,0.31,0.73
27386,0.17,0.81
27387,0.42,0.61
27388,0.14,0.3
27389,0.24,0.22
27390,0.11,0.12
27391,0.3,0.43
27392,0.76,0.73
27393,0.07,0.11
27394,0.09,0.47
27395,0.51,0.69
27396,0.13,0.16
27397,0.71,0.87
27398,0.4,0.75
27399,0.33,0.55
27400,0.17,0.67
27401,0.27,0.26
27402,0.25,0.54
27403,0.18,0.24
27404,0.3,0.19
27405,0.83,0.76
27406,0.13,0.34
27407,0.24,0.33
27408,0.12,0.44
27409,0.72,0.87
27410,0.36,0.34
27411,0.27,0.23
27412,0.27,0.64
27413,0.25,0.44
27414,0.58,0.47
27415,0.2,0.41
27416,0.31,0.33
27417,0.3,0.48
27418,0.57,0.23
27419,0.55,0.82
27420,0.26,0.34
27421,0.26,0.32
27422,0.39,0.64
27423,0.15,0.26
27424,0.24,0.41
27425,0.38,0.45
27426,0.34,0.3
27427,0.25,0.33
27428,0.37,0.11
27429,0.41,0.33
27430,0.29,0.55
27431,0.37,0.57
27432,0.33,0.5
27433,0.11,0.58
27434,0.23,0.23
27435,0.2,0.29
27436,0.11,0.08
27437,0.28,0.35
27438,0.14,0.27
27439,0.31,0.31
27440,0.31,0.26
27441,0.74,0.84
27442,0.51,0.85
27443,0.18,0.25
27444,0.23,0.16
27445,0.12,0.14
27446,0.32,0.21
27447,0.15,0.26
27448,0.24,0.47
27449,0.11,0.76
27450,0.26,0.68
27451,0.12,0.11
27452,0.19,0.25
27453,0.2,0.78
27454,0.24,0.27
27455,0.19,0.37
27456,0.24,0.32
27457,0.09,0.39
27458,0.22,0.39
27459,0.31,0.27
27460,0.68,0.68
27461,0.3,0.2
27462,0.27,0.39
27463,0.23,0.38
27464,0.49,0.51
27465,0.68,0.83
27466,0.05,0.07
27467,0.14,0.33
27468,0.15,0.35
27469,0.22,0.59
27470,0.76,0.77
27471,0.2,0.67
27472,0.3,0.63
27473,0.22,0.39
27474,0.27,0.37
27475,0.13,0.17
27476,0.23,0.51
27477,0.28,0.27
27478,0.3,0.67
27479,0.26,0.48
27480,0.36,0.73
27481,0.5,0.67
27482,0.33,0.39
27483,0.57,0.74
27484,0.43,0.81
27485,0.13,0.68
27486,0.21,0.37
27487,0.15,0.71
27488,0.72,0.81
27489,0.76,0.55
27490,0.13,0.37
27491,0.46,0.57
27492,0.13,0.43
27493,0.15,0.73
27494,0.36,0.67
27495,0.27,0.37
27496,0.1,0.17
27497,0.16,0.19
27498,0.18,0.59
27499,0.26,0.83
27500,0.24,0.77
27501,0.14,0.43
27502,0.17,0.51
27503,0.19,0.59
27504,0.12,0.09
27505,0.11,0.11
27506,0.4,0.81
27507,0.21,0.33
27508,0.37,0.35
27509,0.25,0.47
27510,0.46,0.33
27511,0.31,0.62
27512,0.3,0.19
27513,0.14,0.57
27514,0.55,0.57
27515,0.48,0.41
27516,0.46,0.63
27517,0.25,0.09
27518,0.57,0.78
27519,0.13,0.23
27520,0.21,0.2
27521,0.1,0.47
27522,0.17,0.25
27523,0.11,0.31
27524,0.21,0.52
27525,0.29,0.3
27526,0.49,0.69
27527,0.19,0.89
27528,0.49,0.79
27529,0.31,0.63
27530,0.12,0.09
27531,0.23,0.27
27532,0.17,0.88
27533,0.28,0.47
27534,0.23,0.18
27535,0.23,0.68
27536,0.19,0.4
27537,0.42,0.66
27538,0.35,0.54
27539,0.25,0.65
27540,0.62,0.35
27541,0.64,0.74
27542,0.17,0.21
27543,0.52,0.6
27544,0.15,0.23
27545,0.24,0.3
27546,0.58,0.54
27547,0.2,0.26
27548,0.19,0.78
27549,0.26,0.85
27550,0.2,0.23
27551,0.32,0.41
27552,0.1,0.82
27553,0.39,0.62
27554,0.38,0.38
27555,0.18,0.2
27556,0.19,0.48
27557,0.3,0.67
27558,0.21,0.35
27559,0.28,0.73
27560,0.34,0.66
27561,0.43,0.6
27562,0.35,0.66
27563,0.36,0.49
27564,0.26,0.31
27565,0.27,0.41
27566,0.18,0.44
27567,0.33,0.79
27568,0.53,0.89
27569,0.2,0.12
27570,0.45,0.64
27571,0.08,0.13
27572,0.01,0.02
27573,0.18,0.34
27574,0.4,0.45
27575,0.12,0.3
27576,0.13,0.2
27577,0.38,0.49
27578,0.24,0.51
27579,0.34,0.46
27580,0.25,0.6
27581,0.34,0.31
27582,0.3,0.24
27583,0.22,0.2
27584,0.44,0.55
27585,0.3,0.46
27586,0.46,0.76
27587,0.2,0.71
27588,0.27,0.29
27589,0.23,0.56
27590,0.38,0.56
27591,0.44,0.68
27592,0.08,0.15
27593,0.14,0.17
27594,0.21,0.53
27595,0.24,0.26
27596,0.3,0.31
27597,0.16,0.28
27598,0.13,0.24
27599,0.53,0.71
27600,0.26,0.49
27601,0.18,0.66
27602,0.66,0.82
27603,0.1,0.12
27604,0.22,0.31
27605,0.47,0.49
27606,0.2,0.39
27607,0.43,0.52
27608,0.22,0.57
27609,0.32,0.69
27610,0.32,0.58
27611,0.3,0.19
27612,0.16,0.56
27613,0.71,0.79
27614,0.16,0.44
27615,0.27,0.81
27616,0.05,0.09
27617,0.32,0.47
27618,0.16,0.44
27619,0.31,0.38
27620,0.49,0.61
27621,0.3,0.33
27622,0.59,0.89
27623,0.23,0.77
27624,0.21,0.55
27625,0.24,0.58
27626,0.18,0.16
27627,0.67,0.77
27628,0.24,0.79
27629,0.23,0.11
27630,0.51,0.68
27631,0.3,0.23
27632,0.16,0.43
27633,0.56,0.61
27634,0.23,0.27
27635,0.15,0.3
27636,0.34,0.73
27637,0.2,0.17
27638,0.25,0.34
27639,0.3,0.51
27640,0.61,0.47
27641,0.59,0.55
27642,0.42,0.64
27643,0.19,0.19
27644,0.12,0.57
27645,0.23,0.19
27646,0.18,0.37
27647,0.22,0.19
27648,0.19,0.27
27649,0.15,0.35
27650,0.15,0.56
27651,0.29,0.79
27652,0.26,0.43
27653,0.15,0.17
27654,0.63,0.61
27655,0.26,0.36
27656,0.22,0.32
27657,0.33,0.4
27658,0.11,0.43
27659,0.1,0.08
27660,0.35,0.47
27661,0.28,0.22
27662,0.14,0.25
27663,0.26,0.76
27664,0.29,0.24
27665,0.54,0.61
27666,0.24,0.89
27667,0.21,0.19
27668,0.84,0.9
27669,0.26,0.71
27670,0.55,0.86
27671,0.3,0.81
27672,0.09,0.31
27673,0.19,0.41
27674,0.16,0.44
27675,0.47,0.62
27676,0.36,0.77
27677,0.11,0.15
27678,0.32,0.48
27679,0.21,0.57
27680,0.59,0.7
27681,0.08,0.14
27682,0.17,0.78
27683,0.16,0.66
27684,0.23,0.23
27685,0.06,0.13
27686,0.18,0.42
27687,0.08,0.09
27688,0.28,0.59
27689,0.57,0.82
27690,0.65,0.75
27691,0.68,0.77
27692,0.14,0.32
27693,0.19,0.55
27694,0.17,0.49
27695,0.19,0.44
27696,0.3,0.74
27697,0.49,0.65
27698,0.43,0.41
27699,0.12,0.13
27700,0.17,0.47
27701,0.47,0.45
27702,0.37,0.39
27703,0.08,0.12
27704,0.16,0.19
27705,0.63,0.61
27706,0.2,0.86
27707,0.16,0.3
27708,0.46,0.53
27709,0.23,0.39
27710,0.2,0.25
27711,0.35,0.44
27712,0.14,0.2
27713,0.13,0.18
27714,0.22,0.21
27715,0.78,0.81
27716,0.44,0.38
27717,0.13,0.11
27718,0.25,0.43
27719,0.08,0.12
27720,0.27,0.23
27721,0.4,0.32
27722,0.33,0.41
27723,0.19,0.73
27724,0.2,0.38
27725,0.24,0.63
27726,0.2,0.4
27727,0.28,0.86
27728,0.31,0.49
27729,0.06,0.22
27730,0.76,0.65
27731,0.62,0.84
27732,0.09,0.8
27733,0.27,0.3
27734,0.15,0.42
27735,0.34,0.51
27736,0.14,0.35
27737,0.25,0.6
27738,0.49,0.89
27739,0.6,0.79
27740,0.29,0.57
27741,0.34,0.6
27742,0.15,0.51
27743,0.41,0.68
27744,0.14,0.34
27745,0.79,0.79
27746,0.19,0.59
27747,0.18,0.33
27748,0.38,0.35
27749,0.31,0.61
27750,0.37,0.33
27751,0.2,0.2
27752,0.68,0.81
27753,0.08,0.14
27754,0.23,0.74
27755,0.79,0.89
27756,0.27,0.25
27757,0.16,0.11
27758,0.16,0.77
27759,0.11,0.1
27760,0.47,0.79
27761,0.18,0.82
27762,0.21,0.27
27763,0.22,0.56
27764,0.36,0.37
27765,0.25,0.53
27766,0.46,0.71
27767,0.38,0.65
27768,0.08,0.15
27769,0.15,0.34
27770,0.15,0.63
27771,0.27,0.4
27772,0.73,0.7
27773,0.22,0.43
27774,0.21,0.23
27775,0.16,0.23
27776,0.13,0.1
27777,0.37,0.5
27778,0.24,0.31
27779,0.28,0.28
27780,0.15,0.71
27781,0.12,0.08
27782,0.62,0.73
27783,0.16,0.68
27784,0.2,0.25
27785,0.21,0.29
27786,0.1,0.17
27787,0.13,0.26
27788,0.16,0.36
27789,0.8,0.89
27790,0.66,0.63
27791,0.19,0.3
27792,0.17,0.62
27793,0.28,0.19
27794,0.24,0.23
27795,0.41,0.58
27796,0.36,0.35
27797,0.58,0.63
27798,0.33,0.18
27799,0.24,0.32
27800,0.24,0.33
27801,0.1,0.35
27802,0.64,0.77
27803,0.19,0.11
27804,0.65,0.81
27805,0.28,0.3
27806,0.65,0.78
27807,0.22,0.81
27808,0.29,0.4
27809,0.45,0.88
27810,0.16,0.16
27811,0.18,0.18
27812,0.16,0.22
27813,0.27,0.49
27814,0.22,0.33
27815,0.23,0.58
27816,0.55,0.66
27817,0.29,0.41
27818,0.61,0.73
27819,0.2,0.19
27820,0.66,0.62
27821,0.28,0.23
27822,0.16,0.32
27823,0.36,0.36
27824,0.18,0.76
27825,0.42,0.29
27826,0.38,0.57
27827,0.1,0.1
27828,0.28,0.39
27829,0.1,0.19
27830,0.4,0.38
27831,0.21,0.48
27832,0.37,0.52
27833,0.26,0.29
27834,0.8,0.67
27835,0.35,0.64
27836,0.15,0.79
27837,0.51,0.81
27838,0.16,0.58
27839,0.21,0.24
27840,0.31,0.62
27841,0.2,0.32
27842,0.36,0.82
27843,0.18,0.51
27844,0.09,0.88
27845,0.13,0.56
27846,0.29,0.26
27847,0.15,0.47
27848,0.84,0.78
27849,0.17,0.71
27850,0.32,0.37
27851,0.59,0.36
27852,0.39,0.65
27853,0.23,0.27
27854,0.24,0.65
27855,0.23,0.47
27856,0.39,0.75
27857,0.56,0.87
27858,0.69,0.82
27859,0.68,0.81
27860,0.29,0.7
27861,0.25,0.31
27862,0.23,0.29
27863,0.2,0.33
27864,0.27,0.36
27865,0.47,0.5
27866,0.7,0.7
27867,0.42,0.56
27868,0.54,0.78
27869,0.1,0.52
27870,0.34,0.25
27871,0.27,0.46
27872,0.24,0.15
27873,0.16,0.13
27874,0.33,0.73
27875,0.46,0.58
27876,0.12,0.08
27877,0.49,0.58
27878,0.13,0.66
27879,0.25,0.45
27880,0.25,0.29
27881,0.39,0.84
27882,0.13,0.37
27883,0.22,0.18
27884,0.35,0.37
27885,0.13,0.15
27886,0.21,0.23
27887,0.48,0.65
27888,0.22,0.29
27889,0.2,0.25
27890,0.31,0.47
27891,0.31,0.64
27892,0.2,0.18
27893,0.18,0.37
27894,0.39,0.42
27895,0.1,0.71
27896,0.13,0.47
27897,0.1,0.05
27898,0.21,0.16
27899,0.13,0.54
27900,0.44,0.69
27901,0.1,0.17
27902,0.18,0.39
27903,0.18,0.19
27904,0.31,0.43
27905,0.26,0.27
27906,0.25,0.54
27907,0.81,0.83
27908,0.33,0.59
27909,0.18,0.32
27910,0.41,0.5
27911,0.44,0.56
27912,0.11,0.44
27913,0.14,0.49
27914,0.15,0.36
27915,0.21,0.34
27916,0.27,0.46
27917,0.24,0.53
27918,0.31,0.88
27919,0.24,0.38
27920,0.11,0.77
27921,0.14,0.55
27922,0.49,0.54
27923,0.08,0.65
27924,0.22,0.21
27925,0.12,0.09
27926,0.31,0.24
27927,0.16,0.25
27928,0.74,0.71
27929,0.11,0.86
27930,0.34,0.33
27931,0.69,0.7
27932,0.19,0.21
27933,0.44,0.34
27934,0.51,0.64
27935,0.3,0.6
27936,0.16,0.66
27937,0.66,0.73
27938,0.12,0.22
27939,0.13,0.06
27940,0.12,0.2
27941,0.16,0.32
27942,0.06,0.09
27943,0.26,0.58
27944,0.32,0.36
27945,0.41,0.44
27946,0.27,0.11
27947,0.49,0.65
27948,0.2,0.15
27949,0.39,0.45
27950,0.14,0.79
27951,0.5,0.51
27952,0.14,0.83
27953,0.37,0.52
27954,0.2,0.74
27955,0.17,0.67
27956,0.69,0.7
27957,0.11,0.27
27958,0.6,0.79
27959,0.36,0.33
27960,0.33,0.54
27961,0.17,0.36
27962,0.75,0.78
27963,0.11,0.09
27964,0.15,0.13
27965,0.14,0.33
27966,0.46,0.78
27967,0.2,0.3
27968,0.16,0.42
27969,0.67,0.76
27970,0.23,0.4
27971,0.09,0.75
27972,0.2,0.51
27973,0.71,0.76
27974,0.23,0.4
